ProductID,Flerstyksintervaller,Flerstyksinterspriser
ImportedPROD325,1,7367
ImportedPROD326,1,103.85
ImportedPROD327,1,103.85
ImportedPROD328,1,103.85
ImportedPROD329,1,103.85
ImportedPROD330,1,103.85
ImportedPROD331,1,103.85
ImportedPROD38,1,103.85
ImportedPROD415,1,103.85
ImportedPROD416,1,103.85
ImportedPROD417,1,103.85
ImportedPROD418,1,274
ImportedPROD419,1,70.45
ImportedPROD420,1,70.45
ImportedPROD421,1,70.45
ImportedPROD422,1,70.45
ImportedPROD423,1,70.45
ImportedPROD424,1,107.1
ImportedPROD425,1,110.7
ImportedPROD426,1,110.7
ImportedPROD427,1,107.1
ImportedPROD428,1,37.95
ImportedPROD429,1,68.5
ImportedPROD430,1,68.5
ImportedPROD431,1,68.5
ImportedPROD432,1,38.15
ImportedPROD433,1,64.1
ImportedPROD450,1,88.5
ImportedPROD451,1,88.5
ImportedPROD452,1,88.5
ImportedPROD453,1,59.4
ImportedPROD454,1,37.95
ImportedPROD458,1,41.4
ImportedPROD459,1,41.4
ImportedPROD460,1,41.4
ImportedPROD461,1,37.95
ImportedPROD462,1,71.4
ImportedPROD463,1,74.85
ImportedPROD464,1,74.85
ImportedPROD465,1,74.85
ImportedPROD466,1,71.4
ImportedPROD467,1,97.2
ImportedPROD521,1,97.2
ImportedPROD522,1,97.2
ImportedPROD523,1,97.2
ImportedPROD524,1,97.2
ImportedPROD525,1,9.25
ImportedPROD55,1,49
ImportedPROD559,1,49
ImportedPROD562,1,49
ImportedPROD563,1,49
ImportedPROD58,1;10,99.8;88.5
ImportedPROD584,1;10,99.8;88.5
ImportedPROD586,1,167
ImportedPROD587,1,164
ImportedPROD588,1,164
ImportedPROD589,1,670
ImportedPROD59,1,135
ImportedPROD590,1,209
ImportedPROD591,1,209
ImportedPROD592,1,209
ImportedPROD593,1,209
ImportedPROD594,1,883
ImportedPROD595,1,209
ImportedPROD596,1,209
ImportedPROD597,1,199
ImportedPROD598,1,199
ImportedPROD599,1,199
ImportedPROD60,1,199
ImportedPROD600,1,201
ImportedPROD601,1,201
ImportedPROD602,1,201
ImportedPROD603,1,201
ImportedPROD604,1,1773
ImportedPROD605,1,201
ImportedPROD606,1,201
ImportedPROD607,1,201
ImportedPROD608,1,201
ImportedPROD609,1,201
ImportedPROD610,1,201
ImportedPROD611,1,167
ImportedPROD612,1,167
ImportedPROD613,1,167
ImportedPROD614,1,167
ImportedPROD615,1,167
ImportedPROD616,1,167
ImportedPROD617,1,125
ImportedPROD618,1,125
ImportedPROD619,1,164
ImportedPROD620,1,164
ImportedPROD621,1,164
ImportedPROD622,1,164
ImportedPROD623,1,164
ImportedPROD634,1,164
ImportedPROD699,1,164
ImportedPROD701,1,164
ImportedPROD702,1,164
ImportedPROD705,1,164
ImportedPROD74,1,123
ImportedPROD75,1,36.85
ImportedPROD76,1,92.3
ImportedPROD77,1,94
ImportedPROD78,1,66
ImportedPROD79,1,889
ImportedPROD80,1,799
ImportedPROD828,1,485
ImportedPROD829,1,506
ImportedPROD830,1,429
ImportedPROD831,1,267
ImportedPROD832,1,229
ImportedPROD833,1,87
ImportedPROD834,1,87
ImportedPROD835,1,87
ImportedPROD836,1,91
ImportedPROD84,1,91
ImportedPROD840,1,91
ImportedPROD841,1,86
ImportedPROD845,1,86
ImportedPROD846,1,86
ImportedPROD847,1,896
ImportedPROD848,1,67
ImportedPROD849,1,67
ImportedPROD850,1,62
ImportedPROD851,1,62
ImportedPROD852,1,62
ImportedPROD853,1,62
ImportedPROD854,1,62
ImportedPROD894,1,62
ImportedPROD895,1,62
ImportedPROD904,1,62
ImportedPROD905,1,269
ImportedPROD906,1,269
ImportedPROD907,1;5;10;15;25,79.95;78.5;74.6;70.65;66.75
ImportedPROD908,1;5;10;15;25,79.95;78.5;74.6;70.65;66.75
ImportedPROD909,1;5;10;15;25,79.95;78.5;74.6;70.65;66.75
ImportedPROD92,1;5;10;15;25,79.95;78.5;74.6;70.65;66.75
ImportedPROD93,1;5;10;15;25,79.95;78.5;74.6;70.65;66.75
ImportedPROD973,1,55.95
ImportedPROD974,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD975,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD976,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD977,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD978,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD979,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD980,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
ImportedPROD996,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD100,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10005,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10006,1;5;10;15;25,39.95;38.5;36.6;34.65;32.75
PROD10007,1;5;10;15;25,39.95;38.5;36.6;34.65;32.75
PROD10008,1;5;10;15;25,39.95;38.5;36.6;34.65;32.75
PROD10019,1;5;10;15;25,39.95;38.5;36.6;34.65;32.75
PROD10022,1;5;10;15;25,39.95;38.5;36.6;34.65;32.75
PROD10024,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10025,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10026,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10027,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10028,1;5;10;15;25,55.95;53.9;51.2;48.5;45.85
PROD10029,1,55.95
PROD10030,1;5;10;15;25,55.95;36.5;34.7;32.85;31.05
PROD10031,1;5;10;15;25,55.95;36.5;34.7;32.85;31.05
PROD10032,1;5;10;15;25,55.95;36.5;34.7;32.85;31.05
PROD10033,1;5;10;15;25,55.95;36.5;34.7;32.85;31.05
PROD101,1;5;10;15;25,55.95;36.5;34.7;32.85;31.05
PROD107,1,1277
PROD108,1,342.3
PROD109,1,99
PROD110,1,99
PROD111,1,99
PROD114,1,99
PROD115,1,99
PROD117,1,99
PROD1174,1,99
PROD121,1,99
PROD123,1;3;10,99.5;92.75;84.6
PROD124,1;3;10,99.5;92.75;84.6
PROD126,1;3;10,99.5;92.75;84.6
PROD1269,1,29.5
PROD127,1;5;10;20;30,4498;4293;4089;3884;3680
PROD128,1;5;10;20;30,4498;4293;4089;3884;3680
PROD1306,1;5;10;20;30,4498;4293;4089;3884;3680
PROD1307,1;5;10;20;30,4498;4293;4089;3884;3680
PROD1308,1;5;10;20;30,4498;4293;4089;3884;3680
PROD1310,1,399
PROD133,1;5;10,927;878;834
